,PC,Address,Recency,Frequency
24611,0xb7fb474e,0xbf88ae60,90,445
24612,0xb7fb4754,0xb652d8c8,0,180505
24613,0xb7fb4756,0xbf88ae04,229,442
24614,0xb7fb4760,0xbf88aed0,91,445
24615,0xb7fb476f,0xbf88ae6c,337,427
24616,0xb7fb477c,0xbf88adb0,197,384
24617,0xb7fb3020,0xbf88adac,187,382
24618,0xb7fb3023,0xbf88ada8,278,380
24619,0xb7fb3024,0xbf88ada4,258,378
24620,0xb7fb3025,0xbf88ada0,252,376
24621,0xb7fb3037,0xbf88ad34,172,51
24622,0xb7fb303a,0xbf88ad30,86,445
24623,0xb7fb29b6,0xb6533828,1,94
24624,0xb7fb29d1,0xb6533829,1,95
24625,0xb7fb29d1,0xb653382a,1,96
24626,0xb7fb29d1,0xb653382b,1,97
24627,0xb7fb29d1,0xb653382c,1,100
24628,0xb7fb29d1,0xb653382d,1,101
24629,0xb7fb29d1,0xb653382e,1,104
24630,0xb7fb29d1,0xb653382f,1,106
24631,0xb7fb29d1,0xb6533830,1,108
24632,0xb7fb29d1,0xb6533831,1,110
24633,0xb7fb3048,0xb7fc4310,251,1
24634,0xb7fb3058,0xbf88ad3b,172,1
24635,0xb7fb308e,0xbf88ad40,87,440
24636,0xb7fb3095,0xb66671b8,51,440
24637,0xb7fb30aa,0xbf88ad1c,172,15
24638,0xb7fb30c5,0xbf88ad04,174,36
24639,0xb7fb30d3,0xbf88acfc,174,30
24640,0xb7fb30da,0xbf88acf4,176,15
24641,0xb7fb30de,0xbf88acf0,176,18
24642,0xb7fb30e2,0xbf88acec,172,306
24643,0xb7fb30e6,0xbf88acf8,174,21
24644,0xb7fb30ef,0xbf88ace8,174,11
24645,0xb7fb30f2,0xbf88ad1c,171,425
24646,0xb7fb30fb,0xbf88ad34,171,394
24647,0xb7fb2c84,0xbf88acd8,177,300
24648,0xb7fb2c85,0xbf88acd4,175,298
24649,0xb7fb2c89,0xbf88acf4,175,425
24650,0xb7fb2c8c,0xbf88acc4,233,40
24651,0xb7fb2c8f,0xbf88ace8,173,429
24652,0xb7fb2c95,0xbf88acf0,175,422
24653,0xb7fb2caa,0xbf88accc,201,212
24654,0xb7fb2cad,0xbf88acf8,173,419
24655,0xb7fb2cb0,0xb7fc483c,125,440
