,PC,Address,Recency,Frequency
29312,0xfc29a5,0x5f8e220,0,299327
29313,0xfc29a9,0xb74c66a0,168,96
29314,0xfc29b8,0xbfe9cb04,463,3
29315,0xfc29be,0xb74c5124,142,2
29316,0xfc2aa5,0xb74c5120,111,3
29317,0xfcc5c8,0x5f8da0e,111,1
29318,0xfcc5c8,0x5f8da0f,111,1
29319,0xfcc5c8,0x5f8da10,111,1
29320,0xfcc5c8,0x5f8da11,111,1
29321,0xfcc5c8,0x5f8da12,111,1
29322,0xfcc5c8,0x5f8da13,111,1
29323,0xfcc5c8,0x5f8da14,111,1
29324,0xfcc5c8,0x5f8da15,111,1
29325,0xfcc5c8,0x5f8da16,111,1
29326,0xfcc5c8,0x5f8da17,111,1
29327,0xfc2a20,0xbfe9cb4c,184,143
29328,0xfc2a28,0xbfe9cbd0,367,7
29329,0xfc2a2a,0xbfe9cbd4,439,13
29330,0xfc2a85,0xbfe9cb34,320,149
29331,0xfc2a86,0xbfe9cb38,527,147
29332,0xfc2a87,0xbfe9cb3c,486,145
29333,0xfc2a88,0xbfe9cb40,466,143
29334,0xfc2a89,0xbfe9cb44,722,91
29335,0xfc2cc4,0xbfe9cba4,158,451
29336,0xfc2ccb,0xbfe9cbb8,467,13
29337,0xfc2cd4,0x5f83dc5,0,299327
29338,0xfc2ce3,0xbfe9cb80,620,1
29339,0xfc2cf2,0xb74c6698,119,451
29340,0xfc2d0e,0xb74c6699,359,1
29341,0xfc2d3a,0xbfe9cc08,215,70
29342,0xfc2d3b,0xbfe9cc0c,202,68
29343,0xfc2d3c,0xbfe9cc10,206,66
29344,0xfc2d3d,0xbfe9cc14,202,64
29345,0xfc2d3e,0xbfe9cc18,219,62
29346,0xfc4144,0xbfe9cc9c,313,5
29347,0xfc414a,0xbfe9cd3c,296,12
29348,0xfc4153,0xb74c672c,53,451
29349,0xfc4159,0xb74c6730,53,451
29350,0xfc416b,0x5f83dbc,1,61599
29351,0xfc416e,0xb74c6518,124,451
29352,0xfc4185,0xfccfb0,77,451
29353,0xfc46da,0xbfe9cca4,190,21
29354,0xfc46e0,0x60a4ee4,1,97468
29355,0xfc45ba,0xbfe9ccb8,409,451
29356,0xfc3fec,0xbfe9ccac,115,451
29357,0xfc3ff2,0xbfe9ccb0,115,451
29358,0xfc3ff8,0x5f9199c,0,299327
29359,0xfc4004,0x5f8e290,1,358
29360,0xfc400d,0xbfe9cca8,214,19
29361,0xfc4024,0xb74c66a0,167,355
29362,0xfc4035,0x5f91998,0,299327
29363,0xfc4061,0x5f84144,2,340
29364,0xfc4076,0xb74c6724,102,8
29365,0xfc40eb,0xb74c6728,52,451
29366,0xfc40f5,0xbfe9cc98,254,2
29367,0xfc4102,0xb74c5124,140,337
29368,0xfc4114,0xbfe9cd24,124,451
29369,0xfc4117,0x5f84138,0,299327
29370,0xfc411f,0xbfe9cd40,96,451
29371,0xfc2ba0,0xbfe9cb44,721,1
29372,0xfc2bab,0xbfe9cbbc,257,451
29373,0xfc2bae,0xbfe9cbb8,465,40
29374,0xfc2bb1,0x5f8af29,3,215
29375,0xfc2bba,0x5f8af2a,1,291
29376,0xfc2bc5,0x5f8af2b,1,292
29377,0xfc2bd0,0x5f8af2c,0,299327
29378,0xfc2bdb,0x5f8af2d,0,299327
29379,0xfc2be9,0x5f8af2e,0,299327
29380,0xfc2c04,0x5f8af2f,0,299327
29381,0xfc2c04,0x5f8af30,0,299327
29382,0xfc2c04,0x5f8af31,0,299327
29383,0xfc2c04,0x5f8af32,0,299327
29384,0xfc2c04,0x5f8af33,0,299327
29385,0xfc2c04,0x5f8af34,0,299327
29386,0xfc2c04,0x5f8af35,0,299327
29387,0xfc2c04,0x5f8af36,0,299327
29388,0xfc2c0d,0xfd11b0,293,1
29389,0xfc2c16,0xbfe9cbb4,270,24
29390,0xfc2c1e,0xbfe9cbd0,364,330
29391,0xfc2c25,0xbfe9cbd4,435,330
29392,0xfc2c2c,0xbfe9cbb0,295,5
29393,0xfc2c3c,0xb74c66c4,99,15
29394,0xfc2c3e,0xbfe9cb74,329,1
