,PC,Address,Recency,Frequency
71654,0xb657e356,0xbf8880d0,9,18
71655,0xb656a6d1,0xbf8880e4,6,9
71656,0xb656a6d2,0xbf8880e8,15,6
71657,0xb656a6d3,0xbf8880ec,8,3
71658,0x804cf04,0xbf8880f0,12,694
71659,0x804cf07,0xbf8880f4,11,692
71660,0x8048f7c,0x8058490,2,679
71661,0x8048ebc,0x805845c,16,1421
71662,0x8048ec2,0x8058460,16,1421
71663,0xb7fbc2f0,0xbf8880e0,8,682
71664,0xb7fbc2f1,0xbf8880dc,5,680
71665,0xb7fbc2f2,0xbf8880d8,5,678
71666,0xb7fbc2fb,0xbf8880d4,5,674
71667,0xb7fb6d9b,0xb7fc4714,35,134
71668,0xb7fb6d9e,0xbf888098,9,1
71669,0xb7fb6da9,0x80583a0,35,131
71670,0xb7fb6dac,0xbf8880b0,7,23
71671,0xb7fb6daf,0xb7fc475c,16,1421
71672,0xb7fb6db2,0x80583e0,16,1421
71673,0xb7fb6db5,0x8048d30,0,180505
71674,0xb7fb6db8,0x8048d2c,0,180505
71675,0xb7fb6dbf,0xbf8880b4,11,2
