,PC,Address,Recency,Frequency
16015,0xb7fb2e1e,0xbf88ad94,561,10
16016,0xb7fb2ddc,0xbf88acd4,196,146
16017,0xb7fb2ddd,0xbf88acd8,198,144
16018,0xb7fb2dde,0xbf88acdc,387,94
16019,0xb7fb2ddf,0xbf88ace0,392,92
16020,0xb7fb2de0,0xbf88ace4,387,90
16021,0xb7fb3242,0xb652d575,2,104873
16022,0xb7fb325d,0xb7fc486c,15,2839
16023,0xb7fb326f,0xb7fc486d,153,1
16024,0xb7fb3295,0xbf88ada0,273,69
16025,0xb7fb3296,0xbf88ada4,279,67
16026,0xb7fb3297,0xbf88ada8,299,65
16027,0xb7fb4781,0xbf88aecc,862,20
16028,0xb7fb478c,0xb6667220,63,465
16029,0xb7fb4792,0xb6667224,63,465
16030,0xb7fb479a,0xbf88ae00,373,4
16031,0xb7fb4438,0xb7fc46e0,40,2839
16032,0xb7fb443a,0x8048584,3,53046
16033,0xb7fb444a,0xb7fbf3b0,85,465
16034,0xb7fb4af4,0xbf88adf8,263,12
16035,0xb7fb4afa,0xb6661ee4,0,180505
16036,0xb7fb4586,0xbf88ae0c,294,465
16037,0xb7fb43d7,0xb653a9d0,1,3
16038,0xb7fb43da,0xb653a9cc,0,180505
16039,0xb7fb43e9,0xb6536fe8,1,345
16040,0xb7fb43f0,0xbf88ae20,125,465
16041,0xb7fb4400,0xb6667194,174,344
16042,0xb7fb4406,0xbf88adfc,313,2
16043,0xb7fb4423,0xb6529e24,3,331
16044,0xb7fb46c7,0xb6667218,121,11
16045,0xb7fb46d6,0xbf88adce,201,1
16046,0xb7fb4abb,0xbf88ae6c,380,1
16047,0xb7fb4711,0xb666721c,62,465
16048,0xb7fb4731,0xb6667604,170,327
16049,0xb7fb474e,0xbf88ae60,100,465
16050,0xb7fb4754,0xb6529e18,0,180505
16051,0xb7fb4760,0xbf88aed0,101,465
16052,0xb7fb3024,0xbf88ada4,278,398
16053,0xb7fb3025,0xbf88ada0,272,396
16054,0xb7fb3026,0xbf88ad9c,748,1
16055,0xb7fb3037,0xbf88ad34,192,50
16056,0xb7fb303a,0xbf88ad30,96,465
16057,0xb7fb29b0,0xbf88ace0,391,12
16058,0xb7fb29b5,0xbf88acdc,386,10
16059,0xb7fb29b6,0xb6535aa8,4,93
16060,0xb7fb29d1,0xb6535aa9,5,94
16061,0xb7fb29d1,0xb6535aaa,5,95
16062,0xb7fb29d1,0xb6535aab,5,96
16063,0xb7fb29d1,0xb6535aac,5,99
16064,0xb7fb29d1,0xb6535aad,5,100
16065,0xb7fb29d1,0xb6535aae,5,103
16066,0xb7fb29d1,0xb6535aaf,5,105
16067,0xb7fb29d1,0xb6535ab0,5,107
16068,0xb7fb3048,0xb7fc4310,271,1
16069,0xb7fb3058,0xbf88ad3b,192,1
16070,0xb7fb3060,0xbf88ad3c,196,25
16071,0xb7fb306a,0xbf88ad94,558,347
